Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,XBI,ILF,EPP,FEZ,Mkt-RF,SMB,HML,RF
2007-03-01,123.6944580078125,47.61439514160156,65.81999969482422,38.11222457885742,105.4850082397461,96.75385284423828,25.1080322265625,409.9200134277344,15.031227111816406,23.24814224243164,24.02562141418457,32.91337966918945,-0.25,-0.11,0.15,0.019
2007-03-02,123.77885437011719,46.836483001708984,63.709999084472656,37.53786087036133,104.10364532470703,96.80711364746094,24.872407913208008,408.0799865722656,14.663293838500977,22.76909065246582,23.764081954956055,32.47916793823242,-1.24,-0.64,0.24,0.019
2007-03-05,122.84115600585938,46.15581512451172,62.93000030517578,37.246253967285156,103.11273193359375,96.7894058227539,24.82528305053711,396.9599914550781,14.533252716064453,22.24776840209961,23.032907485961914,31.89607810974121,-1.11,-0.68,-0.28,0.019
2007-03-06,123.16935729980469,47.25785446166992,64.1500015258789,37.864803314208984,104.87687683105469,96.79822540283203,24.693334579467773,402.55999755859375,14.7108736038208,23.34395408630371,23.97789764404297,32.801727294921875,1.58,0.64,-0.02,0.019
2007-03-07,123.71321868896484,47.160614013671875,64.30000305175781,37.714569091796875,104.77182006835938,96.83383178710938,24.919530868530273,410.32000732421875,14.653779029846191,23.148101806640625,23.89580535888672,32.739688873291016,-0.21,-0.11,0.07,0.019
2007-03-08,123.31935119628906,47.58198928833008,64.4800033569336,37.9708366394043,105.65769958496094,96.84268951416016,24.900680541992188,410.32000732421875,14.714044570922852,23.61165428161621,24.184072494506836,33.07465744018555,0.68,-0.06,-0.03,0.019
2007-03-09,123.09435272216797,47.61439514160156,64.25,37.935489654541016,105.68770599365234,96.83383178710938,24.797008514404297,400.8800048828125,14.736247062683105,23.903322219848633,24.338708877563477,33.18013000488281,0.09,0.28,0.16,0.019
2007-03-12,123.91017150878906,48.00335693359375,64.37000274658203,38.18292236328125,105.84532928466797,96.86045837402344,24.62735939025879,394.79998779296875,14.85677719116211,24.1188907623291,24.76443862915039,33.25454330444336,0.28,0.3,-0.21,0.019
2007-03-13,123.88202667236328,47.12820053100586,63.720001220703125,37.4406623840332,103.78836822509766,96.92269897460938,24.401159286499023,391.5199890136719,14.574485778808594,23.290414810180664,24.048532485961914,32.379913330078125,-2.03,-0.2,-0.26,0.019
2007-03-14,124.16332244873047,46.70682907104492,63.939998626708984,37.98851776123047,104.56163024902344,96.93157196044922,24.48598289489746,393.1199951171875,14.637922286987305,23.579254150390625,24.235618591308594,32.47916793823242,0.57,0.1,-0.06,0.019
2007-03-15,124.2945785522461,46.739253997802734,63.97999954223633,37.900142669677734,104.70420837402344,96.92269897460938,24.127838134765625,389.3599853515625,14.672812461853027,23.74410057067871,24.500980377197266,32.634246826171875,0.44,0.48,0.16,0.019
2007-03-16,125.07293701171875,46.70682907104492,64.62000274658203,37.870967864990234,104.41107940673828,96.94044494628906,24.42943572998047,387.3599853515625,14.587172508239746,23.501754760742188,24.4589786529541,32.79816818237305,-0.42,-0.09,-0.18,0.019
2007-03-19,124.93224334716797,47.225440979003906,64.73999786376953,38.260047912597656,105.66978454589844,96.94044494628906,24.49540901184082,389.6000061035156,14.679157257080078,24.0019474029541,24.85988998413086,33.31355667114258,1.08,-0.11,-0.06,0.019
2007-03-20,125.15731811523438,47.64680862426758,65.2699966430664,38.53413772583008,106.25009155273438,96.96717071533203,24.674484252929688,387.67999267578125,14.790164947509766,24.285146713256836,25.031700134277344,33.599185943603516,0.67,0.02,0.12,0.019
2007-03-21,125.79499816894531,48.1654167175293,65.81999969482422,39.27688980102539,107.99873352050781,97.02938079833984,24.806432723999023,390.3999938964844,15.101005554199219,25.09813117980957,25.648334503173828,34.34431838989258,1.64,-0.13,-0.11,0.019
2007-03-22,125.33550262451172,48.23024368286133,65.76000213623047,39.135398864746094,107.9157943725586,97.00270080566406,24.834707260131836,401.44000244140625,15.116866111755371,25.009368896484375,25.558605194091797,34.31947708129883,-0.02,0.22,-0.42,0.019
2007-03-23,124.93224334716797,48.29507064819336,65.1500015258789,39.01161193847656,108.07408142089844,97.03824615478516,24.76873207092285,404.55999755859375,15.183472633361816,25.06572723388672,25.535696029663086,34.51197814941406,0.08,0.08,0.06,0.019
2007-03-26,125.32609558105469,48.03575897216797,65.83999633789062,39.1707649230957,107.93087005615234,97.047119140625,24.316335678100586,409.3599853515625,15.183472633361816,25.06572723388672,25.699878692626953,34.46851348876953,0.06,-0.04,-0.18,0.019
2007-03-27,125.55110931396484,47.84128189086914,65.69999694824219,38.89665603637695,107.67460632324219,97.07379150390625,24.42943572998047,409.6000061035156,15.180301666259766,24.850149154663086,25.57006072998047,34.375370025634766,-0.61,-0.19,-0.05,0.019
